company_name,ticker,naics,gvkey
FORD MOTOR CO,F,33611,4839
FORD MOTOR CREDIT CO LLC,F1,522220,4840
FOSTER (LB) CO,FSTR,423510,4860
FRANKLIN ELECTRIC CO INC,FELE,335312,4881
FRANKLIN RESOURCES INC,BEN,523920,4885
FRANKLIN RESOURCES INC,BEN,523920,4885
FREQUENCY ELECTRONICS INC,FEIM,334515,4900
FRIEDMAN INDUSTRIES INC,FRD,331221,4903
FUJIFILM HLDGS CORP,FUJIY,325992,4925
FULLER (H. B.) CO,FUL,325520,4926
GATX CORP,GATX,532411,4941
ARTHUR J GALLAGHER & CO,AJG,524210,4973
TEGNA INC,TGNA,515120,4988
GAP INC,GPS,448140,4990
AEROJET ROCKETDYNE HOLDINGS,AJRD,336415,5018
GENERAL AMERICAN INVESTORS,GAM,525990,5024
GENERAL DYNAMICS CORP,GD,336411,5046
GENERAL ELECTRIC CO,GE,999977,5047
GEE GROUP INC,JOB,561311,5050
GENERAL MILLS INC,GIS,311230,5071
ALLY FINANCIAL INC,ALLY,522220,5072
ALLY FINANCIAL INC,ALLY,522220,5072
GENERAL MOTORS CO,GM,33611,5073
SPX CORP,SPXC,333415,5087
GENESCO INC,GCO,448210,5109
GENTEX CORP,GNTX,336390,5116
GENUINE PARTS CO,GPC,423120,5125
GEORGIA POWER,SO2,2211,5135
GETTY REALTY CORP,GTY,531120,5149
GETTY REALTY CORP,GTY,531120,5149
GIGA-TRONICS INC,GIGA,334419,5165
GLATFELTER,GLT,322121,5179
GLAXOSMITHKLINE PLC,GSK,325412,5180
GOLD RESERVE INC,GDRZF,212221,5205
GOLDFIELD CORP,GV,237130,5218
GOODYEAR TIRE & RUBBER CO,GT,326211,5234
GORMAN-RUPP CO,GRC,333914,5237
COLE REAL ESTATE INCM STRTGY,6283B,531120,5242
GRACE (W R) & CO,GRA,325998,5250
GRACO INC,GGG,333914,5252
GRAHAM CORP,GHM,333415,5254
GRAINGER (W W) INC,GWW,42,5256
GRAY TELEVISION INC,GTN,515120,5284
GRAYBAR ELECTRIC CO INC,1737B,423610,5288
JFT STRATEGIES FUND,JFTSF,525990,5299
GREIF INC  -CL A,GEF,322219,5338
MONEYGRAM INTERNATIONAL INC,MGI,522320,5342
MONEYGRAM INTERNATIONAL INC,MGI,522320,5342
GYRODYNE LLC,GYRO,531120,5395
GYRODYNE LLC,GYRO,531120,5395
HMG COURTLAND PROPERTIES,HMG,531120,5408
HALLIBURTON CO,HAL,213112,5439
HANCOCK (JOHN) INCOME SEC,JHS,525990,5457
L3HARRIS TECHNOLOGIES INC,LHX,334511,5492
HARSCO CORP,HSC,331110,5496
HASBRO INC,HAS,339930,5518
ALLIED MOTION TECHNOLOGIES,AMOT,335312,5520
HAVERTY FURNITURE,HVT,442110,5523
HAWAIIAN ELECTRIC CO,HE1,2211,5525
HAWAIIAN ELECTRIC INDS,HE,22111,5526
HAWKINS INC,HWKN,424690,5530
HEALTHCARE SERVICES GROUP,HCSG,561720,5539
WELLTOWER INC,WELL,531110,5543
WELLTOWER INC,WELL,531110,5543
STERLING CONSTRUCTION CO INC,STRL,237310,5559
HECLA MINING CO,HL,212221,5560
HEICO CORP,HEI,336412,5567
KRAFT HEINZ CO,KHC,31142,5568
HELEN OF TROY LTD,HELE,335210,5572
HELMERICH & PAYNE,HP,213111,5581
HEMISPHERE ENERGY CORP,HMENF,211130,5583
HERSHEY CO,HSY,311351,5597
HERTZ GLOBAL HOLDINGS INC,HTZ,532111,5600
HP INC,HPQ,33411,5606
HEXCEL CORP,HXL,325211,5608
CRAWFORD UNITED CORP,CRAWA,333413,5621
HILL-ROM HOLDINGS INC,HRC,339113,5639
HILTON WORLDWIDE HOLDINGS,HLT,721110,5643
HITACHI LTD,HTHIY,33411,5650
HOLLYFRONTIER CORP,HFC,324110,5667
HOME DEPOT INC,HD,444110,5680
HOMEFED CORP,HOFD,237210,5681
HNI CORP,HNI,337214,5690
HONDA MOTOR CO LTD,HMC,336111,5691
HORMEL FOODS CORP,HRL,311611,5709
CENTERPOINT ENERGY INC,CNP,22111,5742
HOVNANIAN ENTRPRS INC  -CL A,HOV,236117,5750
URSTADT BIDDLE PROPERTIES,UBA,531120,5763
URSTADT BIDDLE PROPERTIES,UBA,531120,5763
HUBBELL INC,HUBB,335931,5764
HUDSON'S BAY CO,HBAYF,452210,5770
HUNT (JB) TRANSPRT SVCS INC,JBHT,484121,5783
HUNTINGTON BANCSHARES,HBAN,522110,5786
HUNTINGTON BANCSHARES,HBAN,522110,5786
HURCO COS INC,HURC,334513,5788
